region,kjønn,alder,år,statistikkvariabel,"07459: Befolkning, etter region, kjønn, alder, år og statistikkvariabel"
3103 Moss,1 Menn,F75-79 75-79 år,2025,Personer,1183
3103 Moss,1 Menn,F80-84 80-84 år,2025,Personer,691
3103 Moss,1 Menn,F85-89 85-89 år,2025,Personer,363
3103 Moss,1 Menn,F90-94 90-94 år,2025,Personer,114
3103 Moss,1 Menn,F95-99 95-99 år,2025,Personer,32
3103 Moss,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,2
3105 Sarpsborg,2 Kvinner,F00-04 0-4 år,2025,Personer,1433
3105 Sarpsborg,2 Kvinner,F05-09 5-9 år,2025,Personer,1571
3105 Sarpsborg,2 Kvinner,F10-14 10-14 år,2025,Personer,1744
3105 Sarpsborg,2 Kvinner,F15-19 15-19 år,2025,Personer,1817
3105 Sarpsborg,2 Kvinner,F20-24 20-24 år,2025,Personer,1567
3105 Sarpsborg,2 Kvinner,F25-29 25-29 år,2025,Personer,1791
3105 Sarpsborg,2 Kvinner,F30-34 30-34 år,2025,Personer,1980
3105 Sarpsborg,2 Kvinner,F35-39 35-39 år,2025,Personer,1953
3105 Sarpsborg,2 Kvinner,F40-44 40-44 år,2025,Personer,1899
3105 Sarpsborg,2 Kvinner,F45-49 45-49 år,2025,Personer,1926
3105 Sarpsborg,2 Kvinner,F50-54 50-54 år,2025,Personer,2115
3105 Sarpsborg,2 Kvinner,F55-59 55-59 år,2025,Personer,1940
3105 Sarpsborg,2 Kvinner,F60-64 60-64 år,2025,Personer,1806
3105 Sarpsborg,2 Kvinner,F65-69 65-69 år,2025,Personer,1648
3105 Sarpsborg,2 Kvinner,F70-74 70-74 år,2025,Personer,1455
3105 Sarpsborg,2 Kvinner,F75-79 75-79 år,2025,Personer,1487
3105 Sarpsborg,2 Kvinner,F80-84 80-84 år,2025,Personer,948
3105 Sarpsborg,2 Kvinner,F85-89 85-89 år,2025,Personer,563
3105 Sarpsborg,2 Kvinner,F90-94 90-94 år,2025,Personer,223
3105 Sarpsborg,2 Kvinner,F95-99 95-99 år,2025,Personer,61
3105 Sarpsborg,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,7
3105 Sarpsborg,1 Menn,F00-04 0-4 år,2025,Personer,1539
3105 Sarpsborg,1 Menn,F05-09 5-9 år,2025,Personer,1729
3105 Sarpsborg,1 Menn,F10-14 10-14 år,2025,Personer,1835
3105 Sarpsborg,1 Menn,F15-19 15-19 år,2025,Personer,2037
3105 Sarpsborg,1 Menn,F20-24 20-24 år,2025,Personer,1704
3105 Sarpsborg,1 Menn,F25-29 25-29 år,2025,Personer,1821
3105 Sarpsborg,1 Menn,F30-34 30-34 år,2025,Personer,2080
3105 Sarpsborg,1 Menn,F35-39 35-39 år,2025,Personer,1945
3105 Sarpsborg,1 Menn,F40-44 40-44 år,2025,Personer,1966
3105 Sarpsborg,1 Menn,F45-49 45-49 år,2025,Personer,1963
3105 Sarpsborg,1 Menn,F50-54 50-54 år,2025,Personer,2166
