region,kjønn,alder,år,statistikkvariabel,"07459: Befolkning, etter region, kjønn, alder, år og statistikkvariabel"
3907 Sandefjord,2 Kvinner,F65-69 65-69 år,2025,Personer,1993
3907 Sandefjord,2 Kvinner,F70-74 70-74 år,2025,Personer,1772
3907 Sandefjord,2 Kvinner,F75-79 75-79 år,2025,Personer,1614
3907 Sandefjord,2 Kvinner,F80-84 80-84 år,2025,Personer,1050
3907 Sandefjord,2 Kvinner,F85-89 85-89 år,2025,Personer,664
3907 Sandefjord,2 Kvinner,F90-94 90-94 år,2025,Personer,297
3907 Sandefjord,2 Kvinner,F95-99 95-99 år,2025,Personer,88
3907 Sandefjord,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,13
3907 Sandefjord,1 Menn,F00-04 0-4 år,2025,Personer,1564
3907 Sandefjord,1 Menn,F05-09 5-9 år,2025,Personer,1933
3907 Sandefjord,1 Menn,F10-14 10-14 år,2025,Personer,2025
3907 Sandefjord,1 Menn,F15-19 15-19 år,2025,Personer,2172
3907 Sandefjord,1 Menn,F20-24 20-24 år,2025,Personer,1923
3907 Sandefjord,1 Menn,F25-29 25-29 år,2025,Personer,1869
3907 Sandefjord,1 Menn,F30-34 30-34 år,2025,Personer,2042
3907 Sandefjord,1 Menn,F35-39 35-39 år,2025,Personer,2218
3907 Sandefjord,1 Menn,F40-44 40-44 år,2025,Personer,2172
3907 Sandefjord,1 Menn,F45-49 45-49 år,2025,Personer,2233
3907 Sandefjord,1 Menn,F50-54 50-54 år,2025,Personer,2332
3907 Sandefjord,1 Menn,F55-59 55-59 år,2025,Personer,2453
3907 Sandefjord,1 Menn,F60-64 60-64 år,2025,Personer,2079
3907 Sandefjord,1 Menn,F65-69 65-69 år,2025,Personer,1797
3907 Sandefjord,1 Menn,F70-74 70-74 år,2025,Personer,1699
3907 Sandefjord,1 Menn,F75-79 75-79 år,2025,Personer,1464
3907 Sandefjord,1 Menn,F80-84 80-84 år,2025,Personer,855
3907 Sandefjord,1 Menn,F85-89 85-89 år,2025,Personer,423
3907 Sandefjord,1 Menn,F90-94 90-94 år,2025,Personer,168
3907 Sandefjord,1 Menn,F95-99 95-99 år,2025,Personer,23
3907 Sandefjord,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,2
3909 Larvik,2 Kvinner,F00-04 0-4 år,2025,Personer,992
3909 Larvik,2 Kvinner,F05-09 5-9 år,2025,Personer,1279
3909 Larvik,2 Kvinner,F10-14 10-14 år,2025,Personer,1291
3909 Larvik,2 Kvinner,F15-19 15-19 år,2025,Personer,1407
3909 Larvik,2 Kvinner,F20-24 20-24 år,2025,Personer,1128
3909 Larvik,2 Kvinner,F25-29 25-29 år,2025,Personer,1114
3909 Larvik,2 Kvinner,F30-34 30-34 år,2025,Personer,1317
3909 Larvik,2 Kvinner,F35-39 35-39 år,2025,Personer,1529
3909 Larvik,2 Kvinner,F40-44 40-44 år,2025,Personer,1557
3909 Larvik,2 Kvinner,F45-49 45-49 år,2025,Personer,1564
3909 Larvik,2 Kvinner,F50-54 50-54 år,2025,Personer,1722
3909 Larvik,2 Kvinner,F55-59 55-59 år,2025,Personer,1748
3909 Larvik,2 Kvinner,F60-64 60-64 år,2025,Personer,1646
3909 Larvik,2 Kvinner,F65-69 65-69 år,2025,Personer,1612
3909 Larvik,2 Kvinner,F70-74 70-74 år,2025,Personer,1494
3909 Larvik,2 Kvinner,F75-79 75-79 år,2025,Personer,1300
3909 Larvik,2 Kvinner,F80-84 80-84 år,2025,Personer,784
3909 Larvik,2 Kvinner,F85-89 85-89 år,2025,Personer,519
3909 Larvik,2 Kvinner,F90-94 90-94 år,2025,Personer,257
3909 Larvik,2 Kvinner,F95-99 95-99 år,2025,Personer,92
3909 Larvik,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,14
3909 Larvik,1 Menn,F00-04 0-4 år,2025,Personer,1072
3909 Larvik,1 Menn,F05-09 5-9 år,2025,Personer,1284
3909 Larvik,1 Menn,F10-14 10-14 år,2025,Personer,1408
3909 Larvik,1 Menn,F15-19 15-19 år,2025,Personer,1569
3909 Larvik,1 Menn,F20-24 20-24 år,2025,Personer,1352
3909 Larvik,1 Menn,F25-29 25-29 år,2025,Personer,1284
3909 Larvik,1 Menn,F30-34 30-34 år,2025,Personer,1411
3909 Larvik,1 Menn,F35-39 35-39 år,2025,Personer,1630
3909 Larvik,1 Menn,F40-44 40-44 år,2025,Personer,1534
3909 Larvik,1 Menn,F45-49 45-49 år,2025,Personer,1518
3909 Larvik,1 Menn,F50-54 50-54 år,2025,Personer,1678
3909 Larvik,1 Menn,F55-59 55-59 år,2025,Personer,1744
3909 Larvik,1 Menn,F60-64 60-64 år,2025,Personer,1571
3909 Larvik,1 Menn,F65-69 65-69 år,2025,Personer,1572
3909 Larvik,1 Menn,F70-74 70-74 år,2025,Personer,1459
3909 Larvik,1 Menn,F75-79 75-79 år,2025,Personer,1230
3909 Larvik,1 Menn,F80-84 80-84 år,2025,Personer,657
3909 Larvik,1 Menn,F85-89 85-89 år,2025,Personer,365
3909 Larvik,1 Menn,F90-94 90-94 år,2025,Personer,138
3909 Larvik,1 Menn,F95-99 95-99 år,2025,Personer,26
3909 Larvik,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,2
3911 Færder,2 Kvinner,F00-04 0-4 år,2025,Personer,579
3911 Færder,2 Kvinner,F05-09 5-9 år,2025,Personer,694
3911 Færder,2 Kvinner,F10-14 10-14 år,2025,Personer,799
3911 Færder,2 Kvinner,F15-19 15-19 år,2025,Personer,844
3911 Færder,2 Kvinner,F20-24 20-24 år,2025,Personer,598
3911 Færder,2 Kvinner,F25-29 25-29 år,2025,Personer,499
3911 Færder,2 Kvinner,F30-34 30-34 år,2025,Personer,757
3911 Færder,2 Kvinner,F35-39 35-39 år,2025,Personer,876
3911 Færder,2 Kvinner,F40-44 40-44 år,2025,Personer,854
3911 Færder,2 Kvinner,F45-49 45-49 år,2025,Personer,875
3911 Færder,2 Kvinner,F50-54 50-54 år,2025,Personer,973
3911 Færder,2 Kvinner,F55-59 55-59 år,2025,Personer,1080
3911 Færder,2 Kvinner,F60-64 60-64 år,2025,Personer,1013
3911 Færder,2 Kvinner,F65-69 65-69 år,2025,Personer,963
3911 Færder,2 Kvinner,F70-74 70-74 år,2025,Personer,859
3911 Færder,2 Kvinner,F75-79 75-79 år,2025,Personer,724
3911 Færder,2 Kvinner,F80-84 80-84 år,2025,Personer,510
3911 Færder,2 Kvinner,F85-89 85-89 år,2025,Personer,276
3911 Færder,2 Kvinner,F90-94 90-94 år,2025,Personer,146
3911 Færder,2 Kvinner,F95-99 95-99 år,2025,Personer,41
3911 Færder,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,7
3911 Færder,1 Menn,F00-04 0-4 år,2025,Personer,613
3911 Færder,1 Menn,F05-09 5-9 år,2025,Personer,776
3911 Færder,1 Menn,F10-14 10-14 år,2025,Personer,858
3911 Færder,1 Menn,F15-19 15-19 år,2025,Personer,904
3911 Færder,1 Menn,F20-24 20-24 år,2025,Personer,723
3911 Færder,1 Menn,F25-29 25-29 år,2025,Personer,534
3911 Færder,1 Menn,F30-34 30-34 år,2025,Personer,729
3911 Færder,1 Menn,F35-39 35-39 år,2025,Personer,858
3911 Færder,1 Menn,F40-44 40-44 år,2025,Personer,815
3911 Færder,1 Menn,F45-49 45-49 år,2025,Personer,858
3911 Færder,1 Menn,F50-54 50-54 år,2025,Personer,883
3911 Færder,1 Menn,F55-59 55-59 år,2025,Personer,969
3911 Færder,1 Menn,F60-64 60-64 år,2025,Personer,931
3911 Færder,1 Menn,F65-69 65-69 år,2025,Personer,924
3911 Færder,1 Menn,F70-74 70-74 år,2025,Personer,830
3911 Færder,1 Menn,F75-79 75-79 år,2025,Personer,693
3911 Færder,1 Menn,F80-84 80-84 år,2025,Personer,408
3911 Færder,1 Menn,F85-89 85-89 år,2025,Personer,213
3911 Færder,1 Menn,F90-94 90-94 år,2025,Personer,66
3911 Færder,1 Menn,F95-99 95-99 år,2025,Personer,16
3911 Færder,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,1
4001 Porsgrunn,2 Kvinner,F00-04 0-4 år,2025,Personer,766
4001 Porsgrunn,2 Kvinner,F05-09 5-9 år,2025,Personer,925
4001 Porsgrunn,2 Kvinner,F10-14 10-14 år,2025,Personer,1054
4001 Porsgrunn,2 Kvinner,F15-19 15-19 år,2025,Personer,1071
4001 Porsgrunn,2 Kvinner,F20-24 20-24 år,2025,Personer,996
4001 Porsgrunn,2 Kvinner,F25-29 25-29 år,2025,Personer,1020
4001 Porsgrunn,2 Kvinner,F30-34 30-34 år,2025,Personer,1178
4001 Porsgrunn,2 Kvinner,F35-39 35-39 år,2025,Personer,1160
4001 Porsgrunn,2 Kvinner,F40-44 40-44 år,2025,Personer,1152
4001 Porsgrunn,2 Kvinner,F45-49 45-49 år,2025,Personer,1217
4001 Porsgrunn,2 Kvinner,F50-54 50-54 år,2025,Personer,1332
4001 Porsgrunn,2 Kvinner,F55-59 55-59 år,2025,Personer,1361
4001 Porsgrunn,2 Kvinner,F60-64 60-64 år,2025,Personer,1181
4001 Porsgrunn,2 Kvinner,F65-69 65-69 år,2025,Personer,1113
4001 Porsgrunn,2 Kvinner,F70-74 70-74 år,2025,Personer,1048
4001 Porsgrunn,2 Kvinner,F75-79 75-79 år,2025,Personer,901
4001 Porsgrunn,2 Kvinner,F80-84 80-84 år,2025,Personer,641
4001 Porsgrunn,2 Kvinner,F85-89 85-89 år,2025,Personer,375
4001 Porsgrunn,2 Kvinner,F90-94 90-94 år,2025,Personer,166
4001 Porsgrunn,2 Kvinner,F95-99 95-99 år,2025,Personer,56
4001 Porsgrunn,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,6
4001 Porsgrunn,1 Menn,F00-04 0-4 år,2025,Personer,873
4001 Porsgrunn,1 Menn,F05-09 5-9 år,2025,Personer,973
4001 Porsgrunn,1 Menn,F10-14 10-14 år,2025,Personer,1071
4001 Porsgrunn,1 Menn,F15-19 15-19 år,2025,Personer,1163
4001 Porsgrunn,1 Menn,F20-24 20-24 år,2025,Personer,1071
4001 Porsgrunn,1 Menn,F25-29 25-29 år,2025,Personer,1108
4001 Porsgrunn,1 Menn,F30-34 30-34 år,2025,Personer,1218
4001 Porsgrunn,1 Menn,F35-39 35-39 år,2025,Personer,1193
4001 Porsgrunn,1 Menn,F40-44 40-44 år,2025,Personer,1169
4001 Porsgrunn,1 Menn,F45-49 45-49 år,2025,Personer,1204
4001 Porsgrunn,1 Menn,F50-54 50-54 år,2025,Personer,1361
4001 Porsgrunn,1 Menn,F55-59 55-59 år,2025,Personer,1337
4001 Porsgrunn,1 Menn,F60-64 60-64 år,2025,Personer,1167
4001 Porsgrunn,1 Menn,F65-69 65-69 år,2025,Personer,1080
4001 Porsgrunn,1 Menn,F70-74 70-74 år,2025,Personer,942
4001 Porsgrunn,1 Menn,F75-79 75-79 år,2025,Personer,811
4001 Porsgrunn,1 Menn,F80-84 80-84 år,2025,Personer,515
4001 Porsgrunn,1 Menn,F85-89 85-89 år,2025,Personer,236
4001 Porsgrunn,1 Menn,F90-94 90-94 år,2025,Personer,60
4001 Porsgrunn,1 Menn,F95-99 95-99 år,2025,Personer,18
4001 Porsgrunn,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,0
4003 Skien,2 Kvinner,F00-04 0-4 år,2025,Personer,1263
4003 Skien,2 Kvinner,F05-09 5-9 år,2025,Personer,1500
4003 Skien,2 Kvinner,F10-14 10-14 år,2025,Personer,1581
4003 Skien,2 Kvinner,F15-19 15-19 år,2025,Personer,1699
4003 Skien,2 Kvinner,F20-24 20-24 år,2025,Personer,1455
4003 Skien,2 Kvinner,F25-29 25-29 år,2025,Personer,1520
4003 Skien,2 Kvinner,F30-34 30-34 år,2025,Personer,1790
4003 Skien,2 Kvinner,F35-39 35-39 år,2025,Personer,1945
4003 Skien,2 Kvinner,F40-44 40-44 år,2025,Personer,1719
4003 Skien,2 Kvinner,F45-49 45-49 år,2025,Personer,1755
4003 Skien,2 Kvinner,F50-54 50-54 år,2025,Personer,2009
4003 Skien,2 Kvinner,F55-59 55-59 år,2025,Personer,2007
4003 Skien,2 Kvinner,F60-64 60-64 år,2025,Personer,1770
4003 Skien,2 Kvinner,F65-69 65-69 år,2025,Personer,1752
4003 Skien,2 Kvinner,F70-74 70-74 år,2025,Personer,1535
4003 Skien,2 Kvinner,F75-79 75-79 år,2025,Personer,1455
4003 Skien,2 Kvinner,F80-84 80-84 år,2025,Personer,921
4003 Skien,2 Kvinner,F85-89 85-89 år,2025,Personer,540
4003 Skien,2 Kvinner,F90-94 90-94 år,2025,Personer,240
4003 Skien,2 Kvinner,F95-99 95-99 år,2025,Personer,72
4003 Skien,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,9
4003 Skien,1 Menn,F00-04 0-4 år,2025,Personer,1412
4003 Skien,1 Menn,F05-09 5-9 år,2025,Personer,1523
4003 Skien,1 Menn,F10-14 10-14 år,2025,Personer,1717
4003 Skien,1 Menn,F15-19 15-19 år,2025,Personer,1818
4003 Skien,1 Menn,F20-24 20-24 år,2025,Personer,1591
4003 Skien,1 Menn,F25-29 25-29 år,2025,Personer,1629
4003 Skien,1 Menn,F30-34 30-34 år,2025,Personer,1838
4003 Skien,1 Menn,F35-39 35-39 år,2025,Personer,1947
4003 Skien,1 Menn,F40-44 40-44 år,2025,Personer,1764
4003 Skien,1 Menn,F45-49 45-49 år,2025,Personer,1717
4003 Skien,1 Menn,F50-54 50-54 år,2025,Personer,2041
4003 Skien,1 Menn,F55-59 55-59 år,2025,Personer,2026
4003 Skien,1 Menn,F60-64 60-64 år,2025,Personer,1709
4003 Skien,1 Menn,F65-69 65-69 år,2025,Personer,1651
4003 Skien,1 Menn,F70-74 70-74 år,2025,Personer,1389
4003 Skien,1 Menn,F75-79 75-79 år,2025,Personer,1308
4003 Skien,1 Menn,F80-84 80-84 år,2025,Personer,749
4003 Skien,1 Menn,F85-89 85-89 år,2025,Personer,350
4003 Skien,1 Menn,F90-94 90-94 år,2025,Personer,123
4003 Skien,1 Menn,F95-99 95-99 år,2025,Personer,23
4003 Skien,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,4
4005 Notodden,2 Kvinner,F00-04 0-4 år,2025,Personer,290
4005 Notodden,2 Kvinner,F05-09 5-9 år,2025,Personer,334
4005 Notodden,2 Kvinner,F10-14 10-14 år,2025,Personer,351
4005 Notodden,2 Kvinner,F15-19 15-19 år,2025,Personer,374
4005 Notodden,2 Kvinner,F20-24 20-24 år,2025,Personer,331
4005 Notodden,2 Kvinner,F25-29 25-29 år,2025,Personer,355
4005 Notodden,2 Kvinner,F30-34 30-34 år,2025,Personer,402
4005 Notodden,2 Kvinner,F35-39 35-39 år,2025,Personer,436
4005 Notodden,2 Kvinner,F40-44 40-44 år,2025,Personer,372
4005 Notodden,2 Kvinner,F45-49 45-49 år,2025,Personer,410
4005 Notodden,2 Kvinner,F50-54 50-54 år,2025,Personer,427
4005 Notodden,2 Kvinner,F55-59 55-59 år,2025,Personer,462
4005 Notodden,2 Kvinner,F60-64 60-64 år,2025,Personer,464
4005 Notodden,2 Kvinner,F65-69 65-69 år,2025,Personer,447
4005 Notodden,2 Kvinner,F70-74 70-74 år,2025,Personer,373
4005 Notodden,2 Kvinner,F75-79 75-79 år,2025,Personer,334
4005 Notodden,2 Kvinner,F80-84 80-84 år,2025,Personer,259
4005 Notodden,2 Kvinner,F85-89 85-89 år,2025,Personer,140
4005 Notodden,2 Kvinner,F90-94 90-94 år,2025,Personer,74
4005 Notodden,2 Kvinner,F95-99 95-99 år,2025,Personer,21
4005 Notodden,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,1
4005 Notodden,1 Menn,F00-04 0-4 år,2025,Personer,270
4005 Notodden,1 Menn,F05-09 5-9 år,2025,Personer,375
4005 Notodden,1 Menn,F10-14 10-14 år,2025,Personer,393
4005 Notodden,1 Menn,F15-19 15-19 år,2025,Personer,397
4005 Notodden,1 Menn,F20-24 20-24 år,2025,Personer,381
4005 Notodden,1 Menn,F25-29 25-29 år,2025,Personer,359
4005 Notodden,1 Menn,F30-34 30-34 år,2025,Personer,438
4005 Notodden,1 Menn,F35-39 35-39 år,2025,Personer,431
4005 Notodden,1 Menn,F40-44 40-44 år,2025,Personer,389
4005 Notodden,1 Menn,F45-49 45-49 år,2025,Personer,404
4005 Notodden,1 Menn,F50-54 50-54 år,2025,Personer,453
4005 Notodden,1 Menn,F55-59 55-59 år,2025,Personer,464
4005 Notodden,1 Menn,F60-64 60-64 år,2025,Personer,457
4005 Notodden,1 Menn,F65-69 65-69 år,2025,Personer,450
4005 Notodden,1 Menn,F70-74 70-74 år,2025,Personer,376
4005 Notodden,1 Menn,F75-79 75-79 år,2025,Personer,315
4005 Notodden,1 Menn,F80-84 80-84 år,2025,Personer,190
4005 Notodden,1 Menn,F85-89 85-89 år,2025,Personer,85
4005 Notodden,1 Menn,F90-94 90-94 år,2025,Personer,38
4005 Notodden,1 Menn,F95-99 95-99 år,2025,Personer,10
4005 Notodden,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,1
4010 Siljan,2 Kvinner,F00-04 0-4 år,2025,Personer,63
4010 Siljan,2 Kvinner,F05-09 5-9 år,2025,Personer,64
4010 Siljan,2 Kvinner,F10-14 10-14 år,2025,Personer,64
4010 Siljan,2 Kvinner,F15-19 15-19 år,2025,Personer,54
4010 Siljan,2 Kvinner,F20-24 20-24 år,2025,Personer,49
4010 Siljan,2 Kvinner,F25-29 25-29 år,2025,Personer,45
4010 Siljan,2 Kvinner,F30-34 30-34 år,2025,Personer,85
4010 Siljan,2 Kvinner,F35-39 35-39 år,2025,Personer,73
4010 Siljan,2 Kvinner,F40-44 40-44 år,2025,Personer,82
4010 Siljan,2 Kvinner,F45-49 45-49 år,2025,Personer,79
4010 Siljan,2 Kvinner,F50-54 50-54 år,2025,Personer,66
4010 Siljan,2 Kvinner,F55-59 55-59 år,2025,Personer,64
4010 Siljan,2 Kvinner,F60-64 60-64 år,2025,Personer,78
4010 Siljan,2 Kvinner,F65-69 65-69 år,2025,Personer,84
4010 Siljan,2 Kvinner,F70-74 70-74 år,2025,Personer,64
4010 Siljan,2 Kvinner,F75-79 75-79 år,2025,Personer,60
4010 Siljan,2 Kvinner,F80-84 80-84 år,2025,Personer,37
4010 Siljan,2 Kvinner,F85-89 85-89 år,2025,Personer,33
4010 Siljan,2 Kvinner,F90-94 90-94 år,2025,Personer,17
4010 Siljan,2 Kvinner,F95-99 95-99 år,2025,Personer,2
4010 Siljan,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,1
4010 Siljan,1 Menn,F00-04 0-4 år,2025,Personer,63
4010 Siljan,1 Menn,F05-09 5-9 år,2025,Personer,72
4010 Siljan,1 Menn,F10-14 10-14 år,2025,Personer,67
4010 Siljan,1 Menn,F15-19 15-19 år,2025,Personer,92
4010 Siljan,1 Menn,F20-24 20-24 år,2025,Personer,64
4010 Siljan,1 Menn,F25-29 25-29 år,2025,Personer,53
4010 Siljan,1 Menn,F30-34 30-34 år,2025,Personer,78
4010 Siljan,1 Menn,F35-39 35-39 år,2025,Personer,74
4010 Siljan,1 Menn,F40-44 40-44 år,2025,Personer,67
4010 Siljan,1 Menn,F45-49 45-49 år,2025,Personer,68
4010 Siljan,1 Menn,F50-54 50-54 år,2025,Personer,83
4010 Siljan,1 Menn,F55-59 55-59 år,2025,Personer,91
4010 Siljan,1 Menn,F60-64 60-64 år,2025,Personer,83
4010 Siljan,1 Menn,F65-69 65-69 år,2025,Personer,80
4010 Siljan,1 Menn,F70-74 70-74 år,2025,Personer,60
4010 Siljan,1 Menn,F75-79 75-79 år,2025,Personer,69
4010 Siljan,1 Menn,F80-84 80-84 år,2025,Personer,28
4010 Siljan,1 Menn,F85-89 85-89 år,2025,Personer,18
4010 Siljan,1 Menn,F90-94 90-94 år,2025,Personer,11
4010 Siljan,1 Menn,F95-99 95-99 år,2025,Personer,3
4010 Siljan,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,1
4012 Bamble,2 Kvinner,F00-04 0-4 år,2025,Personer,282
4012 Bamble,2 Kvinner,F05-09 5-9 år,2025,Personer,371
4012 Bamble,2 Kvinner,F10-14 10-14 år,2025,Personer,384
4012 Bamble,2 Kvinner,F15-19 15-19 år,2025,Personer,441
4012 Bamble,2 Kvinner,F20-24 20-24 år,2025,Personer,351
4012 Bamble,2 Kvinner,F25-29 25-29 år,2025,Personer,313
4012 Bamble,2 Kvinner,F30-34 30-34 år,2025,Personer,424
4012 Bamble,2 Kvinner,F35-39 35-39 år,2025,Personer,435
4012 Bamble,2 Kvinner,F40-44 40-44 år,2025,Personer,396
4012 Bamble,2 Kvinner,F45-49 45-49 år,2025,Personer,413
4012 Bamble,2 Kvinner,F50-54 50-54 år,2025,Personer,499
4012 Bamble,2 Kvinner,F55-59 55-59 år,2025,Personer,520
4012 Bamble,2 Kvinner,F60-64 60-64 år,2025,Personer,498
4012 Bamble,2 Kvinner,F65-69 65-69 år,2025,Personer,488
4012 Bamble,2 Kvinner,F70-74 70-74 år,2025,Personer,436
4012 Bamble,2 Kvinner,F75-79 75-79 år,2025,Personer,411
4012 Bamble,2 Kvinner,F80-84 80-84 år,2025,Personer,247
4012 Bamble,2 Kvinner,F85-89 85-89 år,2025,Personer,134
4012 Bamble,2 Kvinner,F90-94 90-94 år,2025,Personer,53
4012 Bamble,2 Kvinner,F95-99 95-99 år,2025,Personer,10
4012 Bamble,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,0
4012 Bamble,1 Menn,F00-04 0-4 år,2025,Personer,320
4012 Bamble,1 Menn,F05-09 5-9 år,2025,Personer,364
4012 Bamble,1 Menn,F10-14 10-14 år,2025,Personer,403
4012 Bamble,1 Menn,F15-19 15-19 år,2025,Personer,476
4012 Bamble,1 Menn,F20-24 20-24 år,2025,Personer,420
4012 Bamble,1 Menn,F25-29 25-29 år,2025,Personer,373
4012 Bamble,1 Menn,F30-34 30-34 år,2025,Personer,417
4012 Bamble,1 Menn,F35-39 35-39 år,2025,Personer,436
4012 Bamble,1 Menn,F40-44 40-44 år,2025,Personer,395
4012 Bamble,1 Menn,F45-49 45-49 år,2025,Personer,413
4012 Bamble,1 Menn,F50-54 50-54 år,2025,Personer,516
4012 Bamble,1 Menn,F55-59 55-59 år,2025,Personer,532
4012 Bamble,1 Menn,F60-64 60-64 år,2025,Personer,470
4012 Bamble,1 Menn,F65-69 65-69 år,2025,Personer,462
4012 Bamble,1 Menn,F70-74 70-74 år,2025,Personer,437
4012 Bamble,1 Menn,F75-79 75-79 år,2025,Personer,385
4012 Bamble,1 Menn,F80-84 80-84 år,2025,Personer,259
4012 Bamble,1 Menn,F85-89 85-89 år,2025,Personer,90
4012 Bamble,1 Menn,F90-94 90-94 år,2025,Personer,28
4012 Bamble,1 Menn,F95-99 95-99 år,2025,Personer,8
4012 Bamble,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,0
4014 Kragerø,2 Kvinner,F00-04 0-4 år,2025,Personer,203
4014 Kragerø,2 Kvinner,F05-09 5-9 år,2025,Personer,247
4014 Kragerø,2 Kvinner,F10-14 10-14 år,2025,Personer,234
4014 Kragerø,2 Kvinner,F15-19 15-19 år,2025,Personer,284
4014 Kragerø,2 Kvinner,F20-24 20-24 år,2025,Personer,232
4014 Kragerø,2 Kvinner,F25-29 25-29 år,2025,Personer,228
4014 Kragerø,2 Kvinner,F30-34 30-34 år,2025,Personer,250
4014 Kragerø,2 Kvinner,F35-39 35-39 år,2025,Personer,299
4014 Kragerø,2 Kvinner,F40-44 40-44 år,2025,Personer,284
4014 Kragerø,2 Kvinner,F45-49 45-49 år,2025,Personer,334
4014 Kragerø,2 Kvinner,F50-54 50-54 år,2025,Personer,384
4014 Kragerø,2 Kvinner,F55-59 55-59 år,2025,Personer,409
4014 Kragerø,2 Kvinner,F60-64 60-64 år,2025,Personer,334
4014 Kragerø,2 Kvinner,F65-69 65-69 år,2025,Personer,391
4014 Kragerø,2 Kvinner,F70-74 70-74 år,2025,Personer,379
4014 Kragerø,2 Kvinner,F75-79 75-79 år,2025,Personer,362
4014 Kragerø,2 Kvinner,F80-84 80-84 år,2025,Personer,199
4014 Kragerø,2 Kvinner,F85-89 85-89 år,2025,Personer,123
4014 Kragerø,2 Kvinner,F90-94 90-94 år,2025,Personer,56
4014 Kragerø,2 Kvinner,F95-99 95-99 år,2025,Personer,11
4014 Kragerø,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,0
4014 Kragerø,1 Menn,F00-04 0-4 år,2025,Personer,200
4014 Kragerø,1 Menn,F05-09 5-9 år,2025,Personer,229
4014 Kragerø,1 Menn,F10-14 10-14 år,2025,Personer,301
4014 Kragerø,1 Menn,F15-19 15-19 år,2025,Personer,320
4014 Kragerø,1 Menn,F20-24 20-24 år,2025,Personer,255
4014 Kragerø,1 Menn,F25-29 25-29 år,2025,Personer,232
4014 Kragerø,1 Menn,F30-34 30-34 år,2025,Personer,272
4014 Kragerø,1 Menn,F35-39 35-39 år,2025,Personer,306
4014 Kragerø,1 Menn,F40-44 40-44 år,2025,Personer,283
4014 Kragerø,1 Menn,F45-49 45-49 år,2025,Personer,314
4014 Kragerø,1 Menn,F50-54 50-54 år,2025,Personer,396
4014 Kragerø,1 Menn,F55-59 55-59 år,2025,Personer,401
4014 Kragerø,1 Menn,F60-64 60-64 år,2025,Personer,374
4014 Kragerø,1 Menn,F65-69 65-69 år,2025,Personer,342
4014 Kragerø,1 Menn,F70-74 70-74 år,2025,Personer,332
4014 Kragerø,1 Menn,F75-79 75-79 år,2025,Personer,349
4014 Kragerø,1 Menn,F80-84 80-84 år,2025,Personer,179
4014 Kragerø,1 Menn,F85-89 85-89 år,2025,Personer,94
4014 Kragerø,1 Menn,F90-94 90-94 år,2025,Personer,22
4014 Kragerø,1 Menn,F95-99 95-99 år,2025,Personer,2
4014 Kragerø,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,0
4016 Drangedal,2 Kvinner,F00-04 0-4 år,2025,Personer,99
4016 Drangedal,2 Kvinner,F05-09 5-9 år,2025,Personer,84
4016 Drangedal,2 Kvinner,F10-14 10-14 år,2025,Personer,129
4016 Drangedal,2 Kvinner,F15-19 15-19 år,2025,Personer,105
4016 Drangedal,2 Kvinner,F20-24 20-24 år,2025,Personer,99
4016 Drangedal,2 Kvinner,F25-29 25-29 år,2025,Personer,101
4016 Drangedal,2 Kvinner,F30-34 30-34 år,2025,Personer,106
4016 Drangedal,2 Kvinner,F35-39 35-39 år,2025,Personer,112
4016 Drangedal,2 Kvinner,F40-44 40-44 år,2025,Personer,118
4016 Drangedal,2 Kvinner,F45-49 45-49 år,2025,Personer,126
4016 Drangedal,2 Kvinner,F50-54 50-54 år,2025,Personer,159
4016 Drangedal,2 Kvinner,F55-59 55-59 år,2025,Personer,143
4016 Drangedal,2 Kvinner,F60-64 60-64 år,2025,Personer,142
4016 Drangedal,2 Kvinner,F65-69 65-69 år,2025,Personer,126
4016 Drangedal,2 Kvinner,F70-74 70-74 år,2025,Personer,124
4016 Drangedal,2 Kvinner,F75-79 75-79 år,2025,Personer,107
4016 Drangedal,2 Kvinner,F80-84 80-84 år,2025,Personer,70
4016 Drangedal,2 Kvinner,F85-89 85-89 år,2025,Personer,42
4016 Drangedal,2 Kvinner,F90-94 90-94 år,2025,Personer,15
4016 Drangedal,2 Kvinner,F95-99 95-99 år,2025,Personer,7
4016 Drangedal,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,1
4016 Drangedal,1 Menn,F00-04 0-4 år,2025,Personer,90
